respondent_id,age_group,gender,city_tier,occupation,monthly_income_band,monthly_income_inr,wardrobe_size_band,wardrobe_size_count,wardrobe_utilisation_pct,shopping_channels,purchase_frequency,monthly_clothing_spend_inr,annual_festive_spend_inr,festive_spend_band,style_types,ethnic_categories,saree_types,colour_palette,accessories,pain_occasions,daily_decision_minutes,purchase_drivers,weather_importance_score,prior_app_usage,privacy_comfort,preferred_features,subscription_willingness,social_media_influence_score,ai_trust_score,discovery_channels,fashion_identity,wardrobe_emotion,repeat_outfit_anxiety,sustainability_stance,return_regret_rate,trust_nano_influencer,trust_celebrity,trust_friend_family,trust_ai_recommendation,trust_brand_stylist,wardrobe_gap_score,impulse_buyer_flag,spend_power_index,engagement_likelihood_score,persona_archetype,outlier_flag,q25_platform_interest,target_interested
R0011,35-44,Man,Tier 2,Freelancer/gig worker,40001-75000,57500,71-100,85,40,In-store mall/high street|Local market|Amazon/Flipkart,Once a month,3844,10000,5001-15000,Minimalist/monochrome,None|Lehenga|Anarkali/palazzo,,Neutrals|Pastels|Printed/mixed patterns,Heels/formal footwear|Handbag/tote|Jhumkas/traditional jewellery|Western jewellery/minimalist,Casual outings/weekend,24,Friend/family recommendation|Brand name,3,Yes tried once or twice,Comfortable with privacy controls,Daily outfit suggestions|Smart shopping|Wardrobe gap analysis,1-99,1,4,Bollywood/OTT celebrities,Clothing is self-expression,Confident - wardrobe works,Not concerned - repeat freely,Very important - actively buy sustainable,Almost never - buy intentionally,2,2,4,4,2,5.1,0,22.4,41,Functional Minimalist,None,Unlikely - not for me,Not Interested
R0012,45-54,Man,Tier 1,Salaried govt/PSU,40001-75000,57500,41-70,55,60,Myntra/Ajio/Nykaa Fashion|Amazon/Flipkart|In-store mall/high street,Seasonally,5145,70000,40001-100000,Casual/everyday basics,None,I dont own sarees,Earth tones|Jewel tones,Western jewellery/minimalist|Sneakers/casual shoes,Casual outings/weekend|Weddings/festive,48,Trend/social media|Price/discount|Comfort and fabric quality,3,No not aware,Completely comfortable,Smart shopping|Weather-based dressing,,1,3,Friends and family|YouTube fashion vlogs,Dress for the occasion,Excited - love outfits,Not concerned - repeat freely,Never thought about this,Sometimes 1 in 3,2,3,5,3,5,2.2,0,37.0,46,Functional Minimalist,None,Unlikely - not for me,Not Interested
R0013,25-34,Man,Tier 2,Salaried private,20001-40000,30000,20-40,30,70,In-store mall/high street,Seasonally,2506,10000,5001-15000,Traditional ethnic|Casual/everyday basics,None|Kurta/kurti,I dont own sarees,Pastels|Earth tones|Neutrals,Kolhapuris/juttis|Watch/smartwatch|Heels/formal footwear|Sneakers/casual shoes,Casual outings/weekend|Formal meetings/interviews,28,Brand name|Occasion need|Price/discount,4,No but aware,Neutral/unsure,Daily outfit suggestions|Occasion outfit planner,1-99,3,2,Friends and family,Dress for the occasion,Indifferent - just clothes,Somewhat concerned - mix it up,Not a priority - price first,Occasionally 1 in 5,2,2,5,2,1,0.9,0,13.8,21,Budget Conscious,None,Unlikely - not for me,Not Interested
R0014,45-54,Woman,Tier 1,Salaried govt/PSU,75001-150000,112500,Fewer than 20,12,95,Local market|Instagram/social commerce|Myntra/Ajio/Nykaa Fashion,More than once a month,8344,27500,15001-40000,Traditional ethnic,Saree|Salwar kameez/churidar,Silk Banarasi/Kanjeevaram|Handloom/weave|Printed/block print,Printed/mixed patterns|Jewel tones,Jhumkas/traditional jewellery|Heels/formal footwear|Watch/smartwatch|Dupatta/stole,Formal meetings/interviews|Weddings/festive,9,Occasion need|Comfort and fabric quality|Friend/family recommendation,3,No not aware,Uncomfortable,Occasion outfit planner|Wardrobe gap analysis,500-999,1,1,Friends and family|Instagram Reels/posts,Dress for the occasion,Guilty - know I overbuy,Somewhat concerned - mix it up,Neutral - consider sometimes,Occasionally 1 in 5,3,3,4,1,2,0.1,0,47.3,28,Ethnic Traditionalist,None,Definitely will use - I need this,Interested
R0015,55+,Woman,Metro,Salaried private,40001-75000,57500,41-70,55,50,Instagram/social commerce|In-store mall/high street|Brand website,Seasonally,2552,70000,40001-100000,Casual/everyday basics,Lehenga|Salwar kameez/churidar,I dont own sarees,Monochrome,Kolhapuris/juttis|Jhumkas/traditional jewellery,Weddings/festive,0,Occasion need|Brand name,4,Yes tried once or twice,Neutral/unsure,Wardrobe gap analysis|Style DNA report|Daily outfit suggestions,250-499,2,3,Friends and family|Bollywood/OTT celebrities,Clothing is purely functional,Frustrated - lots but stuck,Somewhat concerned - mix it up,Not a priority - price first,Almost never - buy intentionally,4,2,5,3,2,2.8,0,30.9,65,Ethnic Traditionalist,None,Definitely not interested,Not Interested
R0016,25-34,Man,Metro,Salaried private,20001-40000,30000,41-70,55,55,Amazon/Flipkart|Myntra/Ajio/Nykaa Fashion,Seasonally,2612,27500,15001-40000,Casual/everyday basics|Traditional ethnic|Western formal,Kurta/kurti,I dont own sarees,Printed/mixed patterns,Sneakers/casual shoes|Handbag/tote|Kolhapuris/juttis,Casual outings/weekend|Travel/vacation,1,Friend/family recommendation|Trend/social media,3,Yes tried once or twice,Neutral/unsure,Smart shopping|Occasion outfit planner,0 free only,5,3,Instagram Reels/posts,I follow trends,Indifferent - just clothes,Neutral - depends,Neutral - consider sometimes,Occasionally 1 in 5,3,4,4,3,4,2.5,0,17.4,38,Budget Conscious,None,"Might use, depends on features",Interested
R0017,45-54,Woman,Tier 2,Student,20001-40000,30000,41-70,55,55,In-store mall/high street|Amazon/Flipkart|Instagram/social commerce,Once a month,675,70000,40001-100000,Casual/everyday basics|Traditional ethnic|Boho/eclectic,Kurta/kurti|Salwar kameez/churidar|Anarkali/palazzo,I dont own sarees,Bright/vibrant|Pastels|Neutrals,Heels/formal footwear|Western jewellery/minimalist|Sneakers/casual shoes|Kolhapuris/juttis,Weddings/festive|Date night/parties|Daily office/college,30,Trend/social media|Price/discount|Brand name,3,No but aware,Comfortable with privacy controls,Smart shopping|Daily outfit suggestions|Wardrobe gap analysis,,2,3,YouTube fashion vlogs|Friends and family,Clothing is self-expression,Excited - love outfits,Somewhat concerned - mix it up,Neutral - consider sometimes,Occasionally 1 in 5,3,,3,3,3,2.5,0,21.0,55,Aspiring Premium,None,Definitely will use - I need this,Interested
R0018,18-24,Woman,Tier 3,Salaried govt/PSU,40001-75000,57500,Fewer than 20,12,95,Amazon/Flipkart|In-store mall/high street,More than once a month,3156,10000,5001-15000,Indo-western fusion|Western formal,Kurta/kurti,I dont own sarees,Earth tones|Neutrals,Sneakers/casual shoes|Jhumkas/traditional jewellery|Western jewellery/minimalist|Watch/smartwatch,Formal meetings/interviews|Casual outings/weekend|Weddings/festive,0,Trend/social media|Brand name,3,No not aware,Completely comfortable,Occasion outfit planner|Wardrobe gap analysis,1000+,3,4,Pinterest/mood boards,I follow trends,Frustrated - lots but stuck,Not concerned - repeat freely,Important - but dont always follow through,Often 1 in 2,3,4,4,4,4,0.1,1,20.8,65,Aspiring Premium,None,"Might use, depends on features",Interested
R0019,35-44,Man,Tier 2,Self-employed/business,75001-150000,112500,Fewer than 20,12,80,Amazon/Flipkart|In-store mall/high street|Local market,Once every 2-3 months,9441,10000,5001-15000,Indo-western fusion,Anarkali/palazzo|Salwar kameez/churidar|None,I dont own sarees,Printed/mixed patterns|Bright/vibrant,Watch/smartwatch|Sneakers/casual shoes|Handbag/tote,Weddings/festive|Date night/parties,24,Price/discount|Occasion need,3,No not aware,Completely comfortable,Occasion outfit planner|Wardrobe gap analysis|Weather-based dressing,0 free only,2,2,In-store browsing|YouTube fashion vlogs,Dress to signal status,Frustrated - lots but stuck,Not concerned - repeat freely,Not a priority - price first,Often 1 in 2,3,4,4,2,2,0.2,1,46.5,52,Budget Conscious,None,"Might use, depends on features",Interested
R0020,18-24,Woman,Metro,Salaried private,40001-75000,57500,41-70,55,55,Local market|Myntra/Ajio/Nykaa Fashion,Once every 2-3 months,5164,3500,2000-5000,Minimalist/monochrome|Western formal|Casual/everyday basics,Kurta/kurti,,Earth tones|Pastels,Handbag/tote|Dupatta/stole|Watch/smartwatch,Daily office/college,29,Price/discount|Comfort and fabric quality,3,No but aware,Neutral/unsure,Wardrobe gap analysis|Weather-based dressing|Smart shopping,0 free only,2,5,Pinterest/mood boards|In-store browsing,Clothing is purely functional,Guilty - know I overbuy,Advocate outfit repeating,Important - but dont always follow through,Almost never - buy intentionally,2,3,3,5,3,2.5,0,24.2,42,Functional Minimalist,None,Unlikely - not for me,Not Interested
R0021,25-34,Man,Tier 2,Salaried private,Below 20000,12000,More than 100,120,55,Local market|Amazon/Flipkart,Once a month,903,3500,2000-5000,Traditional ethnic|Casual/everyday basics,Saree|Sherwani/bandgala,Silk Banarasi/Kanjeevaram,Monochrome|Neutrals|Jewel tones,Western jewellery/minimalist|Watch/smartwatch|Jhumkas/traditional jewellery,Daily office/college|Weddings/festive|Casual outings/weekend,2,Occasion need|Comfort and fabric quality|Price/discount,3,No but aware,Neutral/unsure,Wardrobe gap analysis|Occasion outfit planner,0 free only,3,3,Instagram Reels/posts|Bollywood/OTT celebrities,I follow trends,Frustrated - lots but stuck,Neutral - depends,Not a priority - price first,Occasionally 1 in 5,5,4,4,3,4,5.4,0,5.2,48,Budget Conscious,None,Unlikely - not for me,Not Interested
R0022,25-34,Woman,Metro,Salaried private,Above 150000,200000,More than 100,120,30,Myntra/Ajio/Nykaa Fashion,Once a month,20454,27500,15001-40000,Traditional ethnic|Minimalist/monochrome|Western formal,Saree|None|Salwar kameez/churidar,Cotton Tant/Chanderi|Designer/embroidered|Georgette/chiffon,Printed/mixed patterns|Jewel tones|Neutrals,Kolhapuris/juttis|Heels/formal footwear,Date night/parties|Formal meetings/interviews|Travel/vacation,33,Comfort and fabric quality|Price/discount,3,No not aware,Neutral/unsure,Daily outfit suggestions|Occasion outfit planner|Smart shopping,500-999,3,4,Bollywood/OTT celebrities|YouTube fashion vlogs,Dress for the occasion,Confident - wardrobe works,Very concerned - avoid it,Not a priority - price first,Almost never - buy intentionally,4,3,3,4,3,8.4,0,93.0,50,Ethnic Traditionalist,None,Unlikely - not for me,Not Interested
R0023,25-34,Woman,Tier 2,Salaried govt/PSU,40001-75000,57500,More than 100,120,30,In-store mall/high street|Amazon/Flipkart,Seasonally,1787,27500,15001-40000,Casual/everyday basics|Indo-western fusion|Traditional ethnic,Salwar kameez/churidar|Anarkali/palazzo|Lehenga,I dont own sarees,Bright/vibrant|Earth tones,Watch/smartwatch|Jhumkas/traditional jewellery|Sneakers/casual shoes,Weddings/festive,10,Friend/family recommendation|Comfort and fabric quality,2,No but aware,Neutral/unsure,Daily outfit suggestions|Travel packing assistant|Occasion outfit planner,1-99,3,2,Bollywood/OTT celebrities|Instagram Reels/posts,Clothing is purely functional,Overwhelmed - too many choices,Not concerned - repeat freely,Never thought about this,Often 1 in 2,2,3,4,2,3,8.4,1,21.0,44,Ethnic Traditionalist,None,Likely to try it out,Interested
R0024,25-34,Man,Metro,Retired,,30000,20-40,30,60,Myntra/Ajio/Nykaa Fashion,Seasonally,1725,10000,5001-15000,Casual/everyday basics,Lehenga,I dont own sarees,Pastels|Jewel tones|Neutrals,Heels/formal footwear|Western jewellery/minimalist|Kolhapuris/juttis|Jhumkas/traditional jewellery,Daily office/college,2,Price/discount|Occasion need|Friend/family recommendation,2,Yes regularly,Completely comfortable,Daily outfit suggestions|Smart shopping|Wardrobe gap analysis,0 free only,3,1,Friends and family,I follow trends,Overwhelmed - too many choices,Neutral - depends,Important - but dont always follow through,Often 1 in 2,2,3,4,1,4,1.2,1,11.9,50,Budget Conscious,None,Unlikely - not for me,Not Interested
R0025,35-44,Woman,Tier 1,Salaried govt/PSU,Above 150000,200000,71-100,85,30,Myntra/Ajio/Nykaa Fashion,Once every 2-3 months,14179,27500,15001-40000,Western formal|Casual/everyday basics|Indo-western fusion,Salwar kameez/churidar|Sherwani/bandgala|Lehenga,I dont own sarees,Jewel tones|Bright/vibrant,Handbag/tote|Heels/formal footwear|Sneakers/casual shoes|Western jewellery/minimalist,Date night/parties|Weddings/festive|Casual outings/weekend,28,Brand name|Sustainability/ethical brand,1,Yes tried once or twice,Completely comfortable,Weather-based dressing|Smart shopping,100-249,2,3,Instagram Reels/posts,Clothing is self-expression,Excited - love outfits,Somewhat concerned - mix it up,Important - but dont always follow through,Very often - impulse habit,3,3,4,3,3,5.9,1,78.4,68,Urban Trendsetter,None,Unlikely - not for me,Not Interested
R0026,25-34,Woman,Metro,Salaried private,,57500,More than 100,120,35,Subscription box|Myntra/Ajio/Nykaa Fashion|In-store mall/high street,Once every 2-3 months,3680,130000,Above 100000,Casual/everyday basics|Streetwear/athleisure|Minimalist/monochrome,Lehenga|Anarkali/palazzo|Kurta/kurti,I dont own sarees,Bright/vibrant|Jewel tones|Pastels,Heels/formal footwear|Western jewellery/minimalist|Kolhapuris/juttis|Watch/smartwatch,Date night/parties,15,Trend/social media|Brand name,5,No but aware,Completely comfortable,Occasion outfit planner|Wardrobe gap analysis|Weather-based dressing,250-499,3,4,App recommendations|Instagram Reels/posts,Dress for the occasion,Guilty - know I overbuy,Somewhat concerned - mix it up,Very important - actively buy sustainable,Sometimes 1 in 3,4,3,3,4,3,7.8,0,45.1,57,Urban Trendsetter,None,Definitely will use - I need this,Interested
R0027,35-44,Woman,Tier 2,Self-employed/business,40001-75000,57500,71-100,85,35,Instagram/social commerce|In-store mall/high street|Local market,Once every 2-3 months,3254,10000,5001-15000,Maximalist/statement|Casual/everyday basics|Traditional ethnic,Salwar kameez/churidar|Kurta/kurti,I dont own sarees,Jewel tones|Bright/vibrant,Kolhapuris/juttis|Sneakers/casual shoes,Date night/parties|Casual outings/weekend|Daily office/college,5,Price/discount|Brand name,2,Yes tried once or twice,Completely comfortable,Occasion outfit planner|Wardrobe gap analysis|Daily outfit suggestions,100-249,3,3,Instagram Reels/posts,Dress to signal status,Frustrated - lots but stuck,Neutral - depends,Very important - actively buy sustainable,Often 1 in 2,4,2,5,3,3,5.5,1,21.0,59,Aspiring Premium,None,"Might use, depends on features",Interested
R0028,25-34,Woman,Metro,Self-employed/business,75001-150000,112500,41-70,55,50,In-store mall/high street,Once a month,12684,10000,5001-15000,Maximalist/statement|Western formal,Salwar kameez/churidar|Saree,,Bright/vibrant,Sneakers/casual shoes|Cap/hair accessories|Handbag/tote|Jhumkas/traditional jewellery,Formal meetings/interviews|Daily office/college|Weddings/festive,29,Price/discount|Occasion need,4,Yes regularly,Neutral/unsure,Daily outfit suggestions|Occasion outfit planner,250-499,5,3,YouTube fashion vlogs,Dress to signal status,Indifferent - just clothes,Very concerned - avoid it,Not a priority - price first,Often 1 in 2,3,3,4,3,4,2.8,1,54.0,60,Urban Trendsetter,None,Likely to try it out,Interested
R0029,45-54,Woman,Tier 1,Student,20001-40000,30000,20-40,30,60,Brand website|In-store mall/high street,Seasonally,727,27500,15001-40000,Traditional ethnic|Indo-western fusion,Lehenga,I dont own sarees,Monochrome,Western jewellery/minimalist|Kolhapuris/juttis|Heels/formal footwear|Handbag/tote,Casual outings/weekend|Date night/parties|Weddings/festive,23,Price/discount|Trend/social media,3,No not aware,Neutral/unsure,Occasion outfit planner|Weather-based dressing,1-99,2,2,Bollywood/OTT celebrities|Friends and family,Clothing is self-expression,Indifferent - just clothes,Somewhat concerned - mix it up,Not a priority - price first,Often 1 in 2,3,,4,2,1,1.2,1,13.0,30,Ethnic Traditionalist,None,Unlikely - not for me,Not Interested
R0030,25-34,Man,Tier 2,Salaried private,75001-150000,112500,41-70,55,60,Myntra/Ajio/Nykaa Fashion|Amazon/Flipkart|Instagram/social commerce,More than once a month,3616,70000,40001-100000,Western formal|Casual/everyday basics|Indo-western fusion,Lehenga,I dont own sarees,Neutrals|Jewel tones|Earth tones,Dupatta/stole|Jhumkas/traditional jewellery|Sneakers/casual shoes|Watch/smartwatch,Casual outings/weekend,21,Brand name|Colour/pattern appeal|Price/discount,2,Yes regularly,Comfortable with privacy controls,Travel packing assistant|Occasion outfit planner|Daily outfit suggestions,100-249,4,3,Instagram Reels/posts|YouTube fashion vlogs,Clothing is self-expression,Confident - wardrobe works,Somewhat concerned - mix it up,Neutral - consider sometimes,Sometimes 1 in 3,,4,4,3,4,2.2,0,44.4,56,Urban Trendsetter,None,Definitely not interested,Not Interested
R0031,18-24,Woman,Tier 2,Salaried private,20001-40000,30000,20-40,30,65,Myntra/Ajio/Nykaa Fashion|Amazon/Flipkart,Seasonally,1539,10000,5001-15000,Casual/everyday basics|Streetwear/athleisure,Anarkali/palazzo,I dont own sarees,Neutrals|Earth tones,Kolhapuris/juttis|Cap/hair accessories,Daily office/college|Travel/vacation,21,Price/discount|Comfort and fabric quality|Occasion need,4,No but aware,Uncomfortable,Travel packing assistant|Smart shopping|Occasion outfit planner,0 free only,3,4,Bollywood/OTT celebrities,Clothing is purely functional,Guilty - know I overbuy,Not concerned - repeat freely,Not a priority - price first,Occasionally 1 in 5,4,3,4,4,3,1.1,0,11.5,30,Budget Conscious,None,Unlikely - not for me,Not Interested
R0032,25-34,Man,Tier 1,Salaried private,40001-75000,57500,71-100,85,45,Myntra/Ajio/Nykaa Fashion,Once every 2-3 months,4526,3500,2000-5000,Indo-western fusion,Kurta/kurti|None|Salwar kameez/churidar,I dont own sarees,Jewel tones,Sneakers/casual shoes|Watch/smartwatch|Jhumkas/traditional jewellery|Handbag/tote,Casual outings/weekend|Formal meetings/interviews|Daily office/college,28,Trend/social media|Price/discount|Occasion need,3,No not aware,Comfortable with privacy controls,Weather-based dressing|Smart shopping|Daily outfit suggestions,100-249,5,3,Instagram Reels/posts,Clothing is self-expression,Guilty - know I overbuy,Neutral - depends,Important - but dont always follow through,Often 1 in 2,3,3,3,3,2,4.7,1,22.7,33,Aspiring Premium,None,Unlikely - not for me,Not Interested
R0033,35-44,Woman,Metro,Student,Below 20000,12000,41-70,55,65,In-store mall/high street|Amazon/Flipkart,Once a month,751,10000,5001-15000,Traditional ethnic|Streetwear/athleisure|Indo-western fusion,Lehenga,I dont own sarees,Bright/vibrant|Jewel tones|Printed/mixed patterns,Dupatta/stole|Sneakers/casual shoes,Weddings/festive|Formal meetings/interviews,19,Friend/family recommendation|Price/discount,5,No but aware,Uncomfortable,Weather-based dressing|Travel packing assistant|Wardrobe gap analysis,1-99,2,3,Instagram Reels/posts|Friends and family,Dress for the occasion,Indifferent - just clothes,Neutral - depends,Neutral - consider sometimes,Sometimes 1 in 3,3,1,3,3,3,1.9,0,6.1,32,Budget Conscious,None,Definitely not interested,Not Interested
R0034,35-44,Woman,Metro,Salaried private,Above 150000,416236,20-40,30,65,Myntra/Ajio/Nykaa Fashion|Amazon/Flipkart|Brand website,Once a month,35493,531861,Above 100000,Streetwear/athleisure|Western formal,Kurta/kurti|None,I dont own sarees,Earth tones|Neutrals|Jewel tones,Sneakers/casual shoes|Western jewellery/minimalist|Heels/formal footwear|Kolhapuris/juttis,Casual outings/weekend|Weddings/festive,20,Comfort and fabric quality|Occasion need,3,Yes tried once or twice,Uncomfortable,Smart shopping|Wardrobe gap analysis,1-99,1,4,In-store browsing,Clothing is purely functional,Confident - wardrobe works,Not concerned - repeat freely,Very important - actively buy sustainable,Almost never - buy intentionally,2,3,3,4,2,1.1,0,268.3,56,Functional Minimalist,Ultra-HNI,Definitely will use - I need this,Interested
